wavelength,emission_minus_background,calibrated_emission
271.739122871536,224,12.90303568918224
272.29531709766,189,10.886936362747516
272.851498863684,201,11.52659799930083
273.407668169609,201,11.79318095911696
273.963825015436,230,13.747924714607642
274.519969401163,285,17.48990267185397
275.076101326792,235,14.993987034765711
275.632220792322,240,15.689793485553793
276.188327797753,237,15.876037412483935
276.744422343085,234,16.46234974213175
277.300504428318,201,14.443308391712621
277.856574053453,209,15.389167384829166
278.412631218488,259,19.956974989879413
278.968675923425,239,18.471062949977938
279.524708168262,201,15.92562563795357
280.080727953001,189,15.378222198141614
280.636735277641,186,15.43420724063065
281.192730142182,233,19.94441084952832
281.748712546624,215,18.780041178813967
282.304682490967,227,20.522648780316135
282.860639975212,218,19.956873287869616
283.416584999357,218,20.88942354739683
283.972517563403,219,21.597167781575738
284.528437667351,232,23.537934160557104
285.0843453112,241,25.048899254317984
285.64024049495,200,20.9901453478572
286.196123218601,196,21.16547542311622
286.751993482153,247,27.634116869922394
287.307851285606,211,24.149590644209066
287.86369662896,248,29.240541243930192
288.419529512216,198,24.0333856541759
288.975349935372,253,30.83140625719034
289.53115789843,178,21.799682003122367
290.086953401388,168,20.359471683707184
290.642736444248,231,27.915273746062397
291.198507027009,219,26.368387017117712
291.754265149671,247,30.226073271349694
292.310010812235,220,27.87575713248062
292.865744014699,221,29.206873144392006
293.421464757064,232,32.76971458231691
293.977173039331,232,35.52171154910687
294.532868861498,197,32.80827412705259
295.088552223567,244,44.66960330170137
295.644223125537,192,37.920866064977474
296.199881567408,241,49.64266805013597
296.75552754918,247,52.726277901769016
297.311161070853,200,42.255723435597396
297.866782132427,181,38.97153829320389
298.422390733903,234,51.99097368845671
298.977986875279,220,51.34884017261438
299.533570556557,227,55.403117515150306
300.089141777735,190,48.688384079678215
300.644700538815,245,63.48331799973286
301.200246839796,205,53.09857422661592
301.755780680678,189,51.09545388999038
302.311302061461,212,58.05494566261782
302.866810982146,238,67.49138786744335
303.422307442731,219,64.8539254978445
303.977791443217,199,58.22134302040519
304.533262983605,230,67.88554498833626
305.088722063894,240,71.98809216887496
305.644168684084,227,69.09782091254539
306.199602844174,182,57.631764674531325
306.755024544167,221,70.4452887618493
307.31043378406,253,82.25734527144462
307.865830563854,230,76.92815933772737
308.421214883549,232,79.51151114904079
308.976586743146,221,77.52850435554683
309.531946142643,239,86.37999412162807
310.087293082042,230,83.90407970800858
310.642627561342,202,75.25540085922582
311.197949580543,234,89.86459265138932
311.753259139645,251,98.09059721960448
312.308556238648,205,81.2360336667096
312.863840877552,221,88.33778685651869
313.419113056357,206,84.25711524970264
313.974372775064,244,101.01151893645029
314.529620033671,225,94.11862336537365
315.08485483218,209,88.01164385992095
315.64007717059,191,80.53108182305213
316.195287048901,266,115.94690070859464
316.750484467113,209,92.60597954097953
317.305669425226,164,75.51162105551086
317.86084192324,233,111.44112735022408
318.416001961155,242,116.23088007978293
318.971149538972,250,121.774947240735
319.526284656689,230,114.41326756714395
320.081407314308,237,116.460017054287
320.636517511828,222,110.02395567001756
321.191615249249,190,96.8850133763403
321.746700526571,234,118.85295419663444
322.301773343794,249,131.00452116283336
322.856833700918,216,114.38928810579961
323.411881597943,267,143.77485802540886
323.96691703487,256,141.9874464571159
324.521940011697,238,133.58765274068293
325.076950528426,255,148.37606468060116
325.631948585056,238,137.63297431917297
326.186934181586,250,144.9954625973375
326.741907318018,169,99.03649620943828
327.296867994352,245,147.45713452942454
327.851816210586,239,145.90331463610502
328.406751966721,259,163.25426522570982
328.961675262757,230,146.01182760734727
329.516586098695,224,141.66748661068326
330.071484474534,259,168.87426771195476
330.626370390273,241,158.13050149798636
331.181243845914,207,139.64882067411713
331.736104841456,224,151.97836769658548
332.290953376899,232,159.76514979753952
332.845789452243,265,185.51976610171565
333.400613067489,268,188.5675558620391
333.955424222635,235,168.91120740592132
334.510222917683,279,203.49989782947205
335.065009152631,259,189.66871302226411
335.619782927481,228,169.78928961000906
336.174544242232,285,211.70174147276242
336.729293096884,249,185.14975100902026
337.284029491437,231,176.7616767607695
337.838753425891,259,199.23760840126567
338.393464900246,257,207.11261233589323
338.948163914503,254,206.5571627968741
339.50285046866,240,195.37201722786529
340.057524562719,279,230.6848040624361
340.612186196679,238,192.73202405529352
341.166835370539,270,225.8211646295748
341.721472084301,264,221.58446188568632
342.276096337964,239,200.86921459377967
342.830708131529,237,202.76492971784268
343.385307464994,254,214.25180470804565
