wavelength,emission_minus_background,calibrated_emission
371.653351380594,-736,-794.1577588164282
372.207302788917,-726,-794.7179216961421
372.761241737141,-681,-743.0475270265459
373.315168225266,-636,-701.9227315055529
373.869082253293,-608,-675.57498964909
374.42298382122,-626,-696.8139074674039
374.976872929048,-572,-639.965133789736
375.530749576778,-580,-656.2703840378998
376.084613764409,-558,-638.2798143341683
376.638465491941,-501,-582.6529867924027
377.192304759374,-506,-603.1072409587201
377.746131566708,-488,-585.0152626621951
378.299945913943,-423,-507.328268240792
378.853747801079,-388,-471.41760090047825
379.407537228117,-302,-371.0437837267131
379.961314195055,-337,-413.6630257113836
380.515078701895,-295,-370.4639352166237
381.068830748635,-285,-360.96448811794875
381.622570335277,-248,-315.52190860476384
382.17629746182,-161,-208.45381961472305
382.730012128264,-144,-186.85268248432752
383.283714334609,-148,-192.673623602981
383.837404080856,-74,-96.84308994044957
384.391081367003,-110,-146.4769331806264
384.944746193052,19,25.3981123827568
385.498398559001,-41,-54.96286632284494
386.052038464852,-14,-18.81067767398666
386.605665910604,65,87.88826383861874
387.159280896257,59,80.99606377414408
387.712883421811,147,205.27925879188663
388.266473487266,153,214.9901772560462
388.820051092622,150,210.29665777570798
389.37361623788,209,291.3453755643652
389.927168923038,219,306.16006676031503
390.480709148098,271,383.33051688396927
391.034236913058,306,433.54361419009905
391.58775221792,303,429.068355297294
392.141255062683,311,444.277809325355
392.694745447347,393,565.0113460395522
393.248223371912,367,531.1931296931659
393.801688836379,413,611.8540479817384
394.355141840746,384,565.0746407180276
394.908582385014,388,575.8899752918544
395.462010469184,479,714.4987610563381
396.015426093255,502,746.6528672057998
396.568829257227,550,823.9931067159
397.122219961099,573,857.9895233054057
397.675598204873,601,915.7921252477855
398.228963988549,578,882.3458111335287
398.782317312125,680,1038.12133933818
399.335658175602,690,1047.024721002106
399.888986578981,632,944.5291145586616
400.44230252226,697,1039.3888488185687
400.995606005441,744,1117.405267441346
401.548897028523,765,1151.276684319154
402.102175591506,843,1275.3022274384607
402.65544169439,869,1299.159751297787
403.208695337175,898,1340.0935205531875
403.761936519861,998,1494.3295776479797
404.315165242448,992,1494.263932932594
404.868381504937,1037,1600.275245824428
405.421585307326,1096,1681.7131095054956
405.974776649617,1114,1721.5502707975104
406.527955531809,1248,1926.685857095526
407.081121953902,1289,1959.436799145183
407.634275915896,1404,2120.747034186598
408.187417417791,1359,2030.2257786732064
408.740546459587,1485,2185.8792121658694
409.293663041284,1605,2360.7010459136145
409.846767162883,1622,2413.0825245768433
410.399858824382,1665,2462.239510962855
410.952938025783,1759,2630.783579257416
411.506004767085,1830,2738.368127289744
412.059059048288,1955,2905.057720512108
412.612100869392,2090,3096.8899577082975
413.165130230397,2210,3270.5641212883506
413.718147131303,2261,3315.5200896289584
414.27115157211,2407,3505.4745743576173
414.824143552819,2402,3472.1550743018647
415.377123073428,2596,3727.4825951090656
415.930090133939,2831,4043.9268500610633
416.483044734351,2997,4257.691923173669
417.035986874663,3112,4426.660423086788
417.588916554877,3282,4625.158852720938
418.141833774992,3396,4807.287741479786
418.694738535009,3713,5247.445302892744
419.247630834926,3987,5564.160809538763
419.800510674744,4124,5723.269678987759
420.353378054464,4358,6030.1898701091395
420.906232974084,4643,6348.787908538732
421.459075433606,4909,6720.28478393088
422.011905433029,5132,7031.153679595975
422.564722972353,5311,7206.778806184952
423.117528051578,5768,7744.407020652415
423.670320670704,6198,8277.96117371243
424.223100829732,6412,8385.230063063693
424.77586852866,6829,8924.0670241345
425.32862376749,7314,9565.927795370264
425.88136654622,7655,9893.793857368251
426.434096864852,8115,10507.496402901861
426.986814723385,8505,10829.479930650103
427.539520121819,8995,11465.043749668026
428.092213060154,9578,12132.55936851643
428.64489353839,10060,12656.178468770115
429.197561556527,10618,13334.540595338336
429.750217114566,10951,13624.610347690297
430.302860212505,11795,14658.126156887407
430.855490850346,12082,14910.976651110512
431.408109028087,12827,15722.27080534475
431.96071474573,13525,16440.550061090187
432.513308003274,14015,16949.900396983096
433.065888800719,14518,17377.250147455296
433.618457138065,15409,18353.661320427505
434.171013015313,15861,18863.138909380068
434.723556432461,16316,19385.03402087759
435.27608738951,17313,20570.67674952105
435.828605886461,17836,21096.95855406961
436.381111923313,18790,22131.286011309283
436.933605500066,19322,22678.811472792695
437.486086616719,20140,23648.860655429286
438.038555273275,20665,24292.325341084055
438.591011469731,21655,25310.23663542779
439.143455206088,22508,26096.305381800183
439.695886482346,23157,26769.43707031611
440.248305298506,24103,27779.41907165113
440.800711654566,24856,28604.37857325759
441.353105550528,25505,29300.50160088734
441.905486986391,26610,30434.41434453062
442.457855962155,27461,31356.019361218696
443.01021247782,28329,32292.932773641816
443.562556533386,29149,32953.5611114414
444.114888128853,29904,33678.26898215834
444.667207264222,30919,34691.13541503956
445.219513939491,31566,35433.273164429105
445.771808154662,32556,36878.680569466924
446.324089909733,33556,37907.2729833246
446.876359204706,34213,38377.515663567865
447.42861603958,35450,39409.105059869
447.980860414355,36151,40020.393984756134
448.533092329031,36947,40932.54979971464
449.085311783608,37650,41750.98794431358
449.637518778087,38645,43042.30226862042
450.189713312466,39430,43997.11342426115
450.741895386747,40254,45226.91758121204
451.294065000928,40885,45926.932911557145
451.846222155011,42018,47337.30461884709
452.398366848995,42426,47877.90796511193
452.95049908288,43380,49103.165743326455
453.502618856666,44313,50489.630889638545
454.054726170353,44876,51080.887263144185
454.606821023942,45644,52043.229826851064
455.158903417431,46219,52700.777059859036
455.710973350822,46834,53755.67544398394
456.263030824113,47542,55094.95639462824
456.815075837306,48521,56457.48605529587
457.3671083904,49030,57229.093491081985
457.919128483395,49774,58105.00535986725
458.471136116291,50343,58875.246355374285
459.023131289088,51230,60191.47812131183
459.575114001787,51577,60829.40303891531
460.127084254386,52334,62042.11087323065
460.679042046886,52967,62928.01656332428
461.230987379288,53415,63517.981424489655
461.782920251591,54068,64766.02635107342
462.334840663795,54429,65447.47483502409
462.8867486159,54827,66065.89291561296
463.438644107906,55233,67031.0107695847
463.990527139813,55699,67735.20852407096
464.542397711621,56301,68705.42906614133
465.094255823331,56230,69132.95130948762
465.646101474941,56939,70113.42958987212
466.197934666453,57516,70938.54668963162
466.749755397866,57611,71106.93902679523
467.301563669179,58377,72500.44040759713
467.853359480394,58367,73034.37016058412
468.40514283151,58524,73755.06543164226
468.956913722528,59287,75363.97486525499
469.508672153446,59183,75238.3833478962
470.060418124265,59275,75603.59135839273
470.612151634986,59925,76663.04672420773
471.163872685607,59767,76430.29902934148
471.71558127613,59990,76742.47351773092
472.267277406554,60163,77269.05232198571
472.818961076879,60511,77745.42217660918
473.370632287105,60629,78426.59475776735
473.922291037232,60597,78980.17336754674
474.473937327261,60684,78802.15395435863
475.02557115719,60871,79421.78862418367
475.57719252702,61037,79651.10585823208
476.128801436752,60785,79599.4764173459
476.680397886385,60856,80162.93954758874
477.231981875918,60768,80199.96561731074
477.783553405353,60914,80886.15995075437
478.335112474689,61138,81207.6604990898
478.886659083927,60763,81102.80148087874
479.438193233065,60641,81389.42074645459
479.989714922104,61195,82022.24238156858
480.541224151045,61105,82154.28698201133
481.092720919886,60799,81971.31197599505
481.644205228629,60900,82018.94821806418
482.195677077273,60829,82364.49167176029
482.747136465818,60934,82918.60423720007
483.298583394264,60669,82505.64436847324
483.850017862611,60749,82614.15116359104
484.401439870859,60585,82448.93724780699
484.952849419009,60476,82018.84769306531
485.504246507059,60228,81695.14457424157
486.055631135011,60270,82024.95450756437
486.607003302863,60282,81980.39593731068
487.158363010617,60189,82314.44165731118
487.709710258272,59738,81820.79371704962
488.261045045828,59713,81768.28137119558
488.812367373285,59280,81114.26364480634
489.363677240643,59040,80836.15055191985
489.914974647903,59466,81705.60777175978
490.466259595063,58748,81081.81735356737
491.017532082125,58903,81383.43104017033
491.568792109087,58804,80863.43901130348
492.120039675951,58813,80737.88287951892
492.671274782716,58330,79594.08341419723
493.222497429382,58327,79708.6634504327
493.773707615949,58284,79647.83209912314
494.324905342417,58132,79552.88415737855
494.876090608787,57997,79346.87354639512
495.427263415057,57982,79179.6084885234
495.978423761229,57622,78571.82323663146
496.529571647302,57597,78323.05446686651
497.080707073275,57572,78085.99985220564
497.63183003915,57413,77562.88047373758
498.182940544926,57441,77218.85318748334
498.734038590603,57358,76920.04764263162
499.285124176182,56922,76080.43608117016
499.836197301661,56799,75763.57522614441
500.387257967041,56681,75500.68784934247
500.938306172323,56653,75083.01925187164
501.489341917505,56715,75130.33943848945
502.040365202589,56386,74369.16976818084
502.591376027574,56193,74013.19434264445
503.14237439246,55732,73534.25399790291
503.693360297247,55970,73467.51858951258
504.244333741935,56068,73532.6045535363
504.795294726525,55480,72761.32536347334
505.346243251015,55138,71853.90454087722
505.897179315407,55433,72370.38412484663
506.448102919699,55073,71812.73289180853
506.999014063893,54814,71181.11169993816
507.549912747988,54644,70774.98795514215
508.100798971984,54412,70077.4180060551
508.651672735881,54456,69804.66518999684
509.202534039679,54169,69118.64658349454
509.753382883378,53797,68371.3167214032
510.304219266979,53825,68379.40878074284
510.85504319048,53708,67982.70777524784
511.405854653883,53249,67039.51223821953
511.956653657187,52981,66409.753162778
512.507440200392,53112,66231.768276006
513.058214283498,52568,65520.52025157096
513.608975906505,52636,65621.75756016209
514.159725069413,52369,65342.88092829219
514.710461772222,51852,64580.88476803762
515.261186014933,52070,64521.32226295792
515.811897797544,51623,63879.38963413022
516.362597120057,51516,63586.85999919758
516.91328398247,51238,63245.927338437206
517.463958384785,50560,62461.36938222858
518.014620327001,50534,62293.26068125809
518.565269809118,50255,61706.735536709064
519.115906831136,50059,61192.15122073527
519.666531393056,49862,60763.86217345907
520.217143494876,49132,59625.24379333181
520.767743136597,49121,59464.55877222998
521.31833031822,49004,59027.720962833344
521.868905039744,48646,58381.442213898714
522.419467301169,48227,57652.722272959036
522.970017102495,47934,57174.85971031087
523.520554443722,47728,56728.22596927382
524.07107932485,47326,56132.37323444543
524.621591745879,47113,55780.378431784244
525.17209170681,46766,54995.36057255953
525.722579207641,46391,54488.929077086716
526.273054248373,46090,53898.161360742284
526.823516829007,45693,53210.53708617344
527.373966949542,45633,53147.75008956963
527.924404609978,45173,52523.814963090044
528.474829810315,44579,51633.96615677827
529.025242550553,44827,51904.42163636159
529.575642830692,43983,50640.67977453591
530.126030650733,43940,50365.47078557208
530.676406010674,43648,50066.03262128257
531.226768910517,43268,49313.776356089635
531.77711935026,42969,48936.72384172503
532.327457329905,42613,48399.46345858415
532.877782849451,42408,47839.86966699995
533.428095908898,41917,47346.73829178656
533.978396508246,41434,46675.78149881033
534.528684647496,41333,46419.849624757015
535.078960326646,41092,45990.742733370615
535.629223545697,40790,45390.55806820966
536.17947430465,40222,44612.91236755453
536.729712603504,40010,44264.58548263713
537.279938442258,39885,44043.82522383423
537.830151820914,39370,43382.189940035176
538.380352739471,38978,42713.375191231506
538.93054119793,38990,42680.477180386326
539.480717196289,38641,42173.71104508331
540.030880734549,38333,41626.904791848036
540.581031812711,37884,41053.89424069155
541.131170430773,37568,40525.94118981629
541.681296588737,37208,40029.43047331836
542.231410286602,36983,39763.731321366664
542.781511524367,36761,39457.68465740616
543.331600302034,36344,38827.45190806853
543.881676619602,35810,38126.624227047614
544.431740477072,35673,37863.54230172294
544.981791874442,35378,37474.61659678995
545.531830811713,35291,37246.93183894843
546.081857288886,34907,36663.49883321906
546.63187130596,34401,35986.73370753747
547.181872862934,34206,35581.0099007403
547.73186195981,33839,35152.721458014326
548.281838596587,33546,34885.49853787457
548.831802773265,33232,34467.59764332481
549.381754489845,33339,34537.62049147831
549.931693746325,32728,33746.736366559
550.481620542706,32356,33144.81894441643
551.031534878989,32022,32715.3152338821
551.581436755172,31694,32319.36521812134
552.131326171257,31536,32145.52242438758
552.681203127243,31026,31585.92056195195
553.23106762313,30881,31441.88117023831
553.780919658918,30362,30759.146890827145
554.330759234607,30054,30374.145874912643
554.880586350198,29651,29942.910782938827
555.430401005689,29500,29717.306222335428
555.980203201082,29220,29475.692429919054
556.529992936375,29050,29284.977031709146
557.07977021157,28428,28591.011375123064
557.629535026666,28296,28427.376976422885
558.179287381663,27769,27889.2426568794
558.729027276561,27478,27576.828538409216
559.27875471136,27034,27138.95655423052
559.82846968606,26988,27062.034268607593
560.378172200662,26732,26712.289238681347
560.927862255164,26536,26462.4330405631
561.477539849568,26083,25943.906004094762
562.027204983873,25953,25807.194342138548
562.576857658078,25585,25451.938083734203
563.126497872185,25155,24999.56650217952
563.676125626193,24885,24783.488681261868
564.225740920102,24553,24385.463146731105
564.775343753913,24462,24282.25373586094
565.324934127624,24030,23867.27572973992
565.874512041237,23706,23537.674055035935
566.42407749475,23506,23381.524894690578
566.973630488165,22974,22838.902750560148
567.523171021481,22805,22684.113130251124
568.072699094698,22635,22477.266111607343
568.622214707816,22216,21986.087605135453
569.171717860835,22010,21757.78419649598
569.721208553755,21889,21573.794189761367
570.270686786576,21574,21271.320319329756
570.820152559299,21286,21005.933072907857
571.369605871923,20910,20607.66758127745
571.919046724447,20632,20344.291041894514
572.468475116873,20353,20033.17459768846
573.0178910492,20268,19928.059666222354
573.567294521428,19882,19605.824939830978
574.116685533557,19720,19437.21970695173
574.666064085588,19250,18971.520233345775
575.215430177519,19083,18829.40671160048
575.764783809351,18852,18593.1576025538
576.314124981085,18592,18337.09716316992
576.86345369272,18527,18275.457930083423
577.412769944256,18161,17890.67896020633
577.962073735692,17813,17534.585214932133
578.51136506703,17820,17547.39900026653
579.06064393827,17478,17280.448416250063
579.60991034941,17102,16951.7410417382
580.159164300451,16937,16801.302263016118
580.708405791394,16732,16566.175094867194
581.257634822237,16398,16177.625581344706
581.806851392982,16407,16177.963931667837
582.356055503628,16084,15867.179301628665
582.905247154174,15774,15603.137058166938
583.454426344622,15758,15602.853525386374
584.003593074972,15432,15241.940252341281
584.552747345222,15319,15112.117821448299
585.101889155373,15057,14872.304056070283
585.651018505426,14654,14456.434511531113
586.200135395379,14550,14393.029262811602
586.749239825234,14536,14415.931831640088
587.29833179499,14142,14022.872705597907
587.847411304646,13999,13922.909431486096
588.396478354205,13823,13784.901156289548
588.945532943663,13661,13642.232098315435
589.494575073024,13616,13605.560685409797
590.043604742285,13407,13406.649905141303
590.592621951447,13140,13153.845704699954
591.141626700511,13014,13013.588640388343
591.690618989476,12754,12768.33267340818
592.239598818341,12507,12544.636410495206
592.788566187108,12309,12360.4478918022
593.337521095776,12056,12154.64656343447
593.886463544345,11861,12028.466027419447
594.435393532816,11797,11992.684072118085
594.984311061187,11563,11773.843518169728
595.533216129459,11286,11513.195221691001
596.082108737633,11141,11352.424398961804
596.630988885708,10934,11151.857011347543
597.179856573683,10723,10972.086285292553
597.72871180156,10564,10830.445460773597
598.277554569338,10479,10765.772859957027
598.826384877017,10162,10489.524615753666
599.375202724597,10035,10399.644960313257
599.924008112079,9958,10372.600273603379
600.472801039461,9750,10214.388245826376
601.021581506745,9493,9978.30788588191
601.570349513929,9107,9571.818272079841
602.119105061015,9179,9669.370196203097
602.667848148002,9013,9527.0264943735
603.21657877489,8754,9292.396716377361
603.765296941679,8642,9217.10882171759
604.314002648369,8497,9095.554065773067
604.86269589496,8405,9007.385250311905
605.411376681453,8062,8658.374505907315
605.960045007846,8131,8782.682209804276
606.508700874141,7789,8449.681375456552
607.057344280337,7703,8403.03176726861
607.605975226433,7635,8370.375974139339
608.154593712431,7369,8095.960342700726
608.70319973833,7213,7946.906021868986
609.251793304131,7168,7913.775642913066
609.800374409832,6975,7710.550936782839
610.348943055434,6919,7679.770829620856
610.897499240938,6757,7527.017371129954
611.446042966342,6613,7415.984434093938
611.994574231648,6397,7206.299220856757
612.543093036855,6474,7321.012382611175
613.091599381963,6318,7177.154170821909
613.640093266972,6114,6971.876215833763
614.188574691882,5995,6860.595281295746
614.737043656693,5856,6716.262007051289
615.285500161406,5759,6625.069265562267
615.833944206019,5596,6454.730119357173
616.382375790534,5578,6451.394838051989
616.930794914949,5407,6272.765463848924
617.479201579266,5326,6203.688455485556
618.027595783484,5186,6050.357368229966
618.575977527603,5159,6039.831344555967
619.124346811623,4862,5717.783569944863
619.672703635545,4865,5742.8300768739855
620.221047999367,4838,5738.14890573861
620.76937990309,4761,5662.611610751973
621.317699346715,4672,5579.428858020304
621.866006330241,4591,5491.646739725662
622.414300853668,4591,5508.486815126303
622.962582916995,4350,5245.671844225751
623.510852520224,4337,5239.248960603273
624.059109663355,4242,5137.69857910256
624.607354346386,4106,4983.7514163733495
625.155586569318,4036,4902.917295623827
625.703806332152,4030,4917.581889151482
626.252013634886,3930,4816.586919686404
626.800208477522,3818,4687.671909579017
627.348390860059,3701,4562.122704908854
627.896560782496,3642,4494.986081050284
628.444718244835,3586,4428.589291080993
628.992863247076,3474,4295.127990038979
629.540995789217,3474,4304.636645396591
630.089115871259,3386,4195.682869593658
630.637223493203,3264,4048.0203615827772
631.185318655047,3223,3998.7243251479895
631.733401356793,3134,3887.6338441786243
632.28147159844,3119,3881.4712632664896
632.829529379987,3085,3837.0011553759573
633.377574701437,3024,3772.582688850424
633.925607562786,2953,3686.7939713431792
634.473627964038,2884,3603.2935468535557
635.02163590519,2810,3524.8409250017207
635.569631386243,2796,3516.8980980617066
636.117614407198,2723,3434.817838363967
636.665584968054,2710,3423.921256805416
637.21354306881,2521,3188.7402943595744
637.761488709468,2559,3240.9252326442547
638.309421890027,2414,3057.774632359258
638.857342610487,2453,3107.253629238375
