wavelength,emission_minus_background,calibrated_emission
271.739122871536,-286,-16.47441163886661
272.29531709766,-286,-16.47441163886661
272.851498863684,-313,-17.949378974035618
273.407668169609,-315,-18.481850756825086
273.963825015436,-302,-18.05162288613699
274.519969401163,-302,-18.53316002421017
275.076101326792,-291,-18.567022243050307
275.632220792322,-274,-17.91251422934058
276.188327797753,-274,-18.354574898821088
276.744422343085,-317,-22.301559266050276
277.300504428318,-320,-22.994321817651937
277.856574053453,-289,-21.279757771366647
278.412631218488,-278,-21.42100018218717
278.968675923425,-308,-23.80371292298412
279.524708168262,-294,-23.294198694320144
280.080727953001,-291,-23.67758020983709
280.636735277641,-296,-24.56196421089609
281.192730142182,-299,-25.59390061806424
281.748712546624,-332,-28.99987754123831
282.304682490967,-314,-28.38815734369721
282.860639975212,-299,-27.372041803087225
283.416584999357,-314,-30.088435751755068
283.972517563403,-296,-29.190692526695976
284.528437667351,-279,-28.306394960325136
285.0843453112,-279,-28.998518223878495
285.64024049495,-303,-31.80007020200366
286.196123218601,-290,-31.31626465665155
286.751993482153,-328,-36.696317139006254
287.307851285606,-277,-31.703491035288682
287.86369662896,-313,-36.9043927796377
288.419529512216,-313,-37.99217025129826
288.975349935372,-292,-35.584073624899524
289.53115789843,-313,-38.33314869088371
290.086953401388,-273,-33.08414148602417
290.642736444248,-301,-36.37444760850555
291.198507027009,-316,-38.04753560460821
291.754265149671,-336,-41.117249470338045
292.310010812235,-307,-38.89935199850705
292.865744014699,-298,-39.3830235159675
293.421464757064,-296,-41.80963584640433
293.977173039331,-310,-47.46435594923762
294.532868861498,-303,-50.46145715988291
295.088552223567,-330,-60.41380774410432
295.644223125537,-335,-66.16401110295548
296.199881567408,-299,-61.589866170085706
296.75552754918,-327,-69.8036148740019
297.311161070853,-314,-66.34148579388791
297.866782132427,-315,-67.82339537215043
298.422390733903,-297,-65.98854352765659
298.977986875279,-285,-66.52008840543226
299.533570556557,-288,-70.2911799311158
300.089141777735,-275,-70.47002958900794
300.644700538815,-301,-77.99379068538609
301.200246839796,-328,-84.95771876258549
301.755780680678,-308,-83.26666559850285
302.311302061461,-284,-77.77171966124274
302.866810982146,-307,-87.05821880380299
303.422307442731,-327,-96.83668327760344
303.977791443217,-330,-96.54795576248098
304.533262983605,-281,-82.93842670314126
305.088722063894,-339,-101.68318018853587
305.644168684084,-331,-100.75497234384372
306.199602844174,-325,-102.91386549023451
306.755024544167,-288,-91.8020052643104
307.31043378406,-303,-98.51373761757992
307.865830563854,-336,-112.38200668467998
308.421214883549,-311,-106.58655158341244
308.976586743146,-269,-94.36727453231718
309.531946142643,-284,-102.64400975122332
310.087293082042,-293,-106.8865015410718
310.642627561342,-296,-110.27524086302398
311.197949580543,-300,-115.2110162197299
311.753259139645,-317,-123.88334389886302
312.308556238648,-327,-129.5813805317758
312.863840877552,-288,-115.11892585826871
313.419113056357,-307,-125.56764262941121
313.974372775064,-322,-133.30208646531554
314.529620033671,-305,-127.58302278417317
315.08485483218,-324,-136.43910340006886
315.64007717059,-263,-110.88834826943828
316.195287048901,-284,-123.79293158361232
316.750484467113,-298,-132.04106173785598
317.305669425226,-327,-150.56280539726862
317.86084192324,-302,-144.44300626509732
318.416001961155,-279,-134.00171711677453
318.971149538972,-278,-135.4137413316973
319.526284656689,-287,-142.76785996421876
320.081407314308,-302,-148.400528060737
320.636517511828,-323,-160.07989946583635
321.191615249249,-317,-161.64499600157828
321.746700526571,-313,-158.97852420319052
322.301773343794,-300,-157.8367724853414
322.856833700918,-292,-154.6373709578402
323.411881597943,-304,-163.69871475552168
323.96691703487,-335,-185.80388501224152
324.521940011697,-281,-157.72323705937774
325.076950528426,-289,-168.15953997134798
325.631948585056,-297,-171.75207299493434
326.186934181586,-273,-158.33504515629255
326.741907318018,-295,-172.87435728866447
327.296867994352,-292,-175.74482972486516
327.851816210586,-264,-161.1651676315135
328.406751966721,-302,-190.35825520526782
328.961675262757,-299,-189.81537588955146
329.516586098695,-314,-198.5874589096185
330.071484474534,-239,-155.8337837187536
330.626370390273,-276,-181.09551208898023
331.181243845914,-294,-198.3418032762823
331.736104841456,-288,-195.40075846703846
332.290953376899,-288,-198.32915147280767
332.845789452243,-267,-186.9199152798418
333.400613067489,-302,-212.49030548632763
333.955424222635,-301,-216.35009969864817
334.510222917683,-288,-210.0644106626808
335.065009152631,-309,-226.28429468679386
335.619782927481,-297,-221.17289041303812
336.174544242232,-272,-202.04517080909255
336.729293096884,-286,-212.66196300634456
337.284029491437,-264,-202.01334486945083
337.838753425891,-283,-217.69978060833276
338.393464900246,-278,-224.03621100925417
338.948163914503,-264,-214.68933456053057
339.50285046866,-261,-212.46706873530349
340.057524562719,-254,-210.0141226948343
340.612186196679,-280,-226.74355771211003
341.166835370539,-277,-231.67578741626747
341.721472084301,-295,-247.60384945559647
342.276096337964,-294,-247.09434765929382
342.830708131529,-297,-254.0978233172965
343.385307464994,-252,-212.56478262373034
343.93989433836,-276,-231.29178957591856
344.494468751628,-293,-247.60544161292336
345.049030704796,-281,-238.28610533919115
345.603580197866,-264,-224.8951423224655
346.158117230837,-270,-236.7027998692695
346.712641803709,-291,-253.01493698995566
347.267153916482,-252,-219.22510645382053
347.821653569156,-274,-244.23096862110978
348.376140761731,-262,-231.09688649006972
348.930615494207,-233,-211.25009636204476
349.485077766585,-261,-241.55349831384186
350.039527578864,-256,-233.4915916972754
350.593964931043,-248,-228.06440679999403
351.148389823124,-287,-261.0672880319245
351.702802255106,-249,-227.6284577113321
352.257202226989,-257,-237.49125973937453
352.811589738773,-259,-239.753298982065
353.365964790458,-226,-213.89062001136628
353.920327382045,-229,-215.8582034364961
354.474677513532,-233,-219.04963081593985
355.029015184921,-246,-233.03718472785985
355.58334039621,-219,-207.22405560491686
356.137653147401,-215,-205.89016308360104
356.691953438493,-259,-250.46626366653325
357.246241269486,-196,-191.00267651652197
357.80051664038,-193,-188.31847645786036
358.354779551176,-213,-205.88528386147806
358.909030001872,-220,-209.6494597663435
359.463267992469,-243,-233.4440732303615
360.017493522968,-211,-201.38913885918953
360.571706593368,-212,-202.96452757231273
361.125907203668,-207,-201.86514369190104
361.68009535387,-139,-133.78172174145442
362.234271043973,-161,-155.4661746294612
362.788434273977,-174,-167.7186341498605
363.342585043883,-144,-137.97828449792712
363.896723353689,-176,-169.8587723985064
364.450849203396,-163,-158.2501422547482
365.004962593005,-110,-106.29850202796781
365.559063522515,-83,-81.38811728198915
366.113151991925,-116,-114.54964053477136
366.667228001237,-75,-75.39362027349826
367.22129155045,-47,-48.07550738524563
367.775342639564,-35,-36.16495911959385
368.329381268579,-47,-49.04390804722705
368.883407437496,-13,-13.50049374861239
369.437421146313,54,56.61912369336336
369.991422395032,100,104.982152733446
370.545411183651,131,139.14204797703323
371.099387512172,69,73.65514981595592
371.653351380594,126,135.95635544955155
372.207302788917,145,158.72465378228733
372.761241737141,226,246.5913966343603
373.315168225266,280,309.0225861974132
373.869082253293,279,310.00891794752647
374.42298382122,327,363.990651344794
374.976872929048,406,454.2409865710364
375.530749576778,437,494.4657893526935
376.084613764409,491,561.6404817886678
376.638465491941,477,554.7414664670181
377.192304759374,595,709.1873683210247
377.746131566708,604,724.0762677212416
378.299945913943,698,837.1516104777136
378.853747801079,763,927.0402821831569
379.407537228117,766,941.1242991213982
379.961314195055,810,994.2642457751358
380.515078701895,876,1100.0895161008893
381.068830748635,904,1144.954025468862
381.622570335277,995,1265.9044317005646
382.17629746182,1106,1431.9871086576627
382.730012128264,1128,1463.6793461272323
383.283714334609,1203,1566.1241161782848
383.837404080856,1210,1583.5153895668107
384.391081367003,1282,1707.1220757960277
384.944746193052,1344,1796.5822653907967
385.498398559001,1375,1843.2668583880925
386.052038464852,1443,1938.8434202544822
386.605665910604,1444,1952.471584353315
387.159280896257,1471,2019.410335792643
387.712883421811,1525,2129.5977527729738
388.266473487266,1662,2335.383494114698
388.820051092622,1645,2306.2533469402642
389.37361623788,1678,2339.12698658854
389.927168923038,1726,2412.9327635995605
390.480709148098,1762,2492.3556116219697
391.034236913058,1897,2687.687046139274
391.58775221792,1887,2672.118767148494
392.141255062683,1948,2782.8076288289117
392.694745447347,1924,2766.1115261580117
393.248223371912,2054,2972.9446550129774
393.801688836379,1998,2960.0106243765454
394.355141840746,2098,3087.30884433964
394.908582385014,2187,3246.0602473280555
395.462010469184,2197,3277.1477620893006
396.015426093255,2172,3230.537903527883
396.568829257227,2235,3348.40835183643
397.122219961099,2255,3376.5556283659507
397.675598204873,2293,3494.028857226576
398.228963988549,2365,3610.2903863854594
398.782317312125,2429,3708.2304900771164
399.335658175602,2465,3740.457880101726
399.888986578981,2332,3485.192872074049
400.44230252226,2565,3825.0106129406436
400.995606005441,2529,3798.2767760203824
401.548897028523,2681,4034.735674064904
402.102175591506,2702,4087.623509535849
402.65544169439,2727,4076.8799099989237
403.208695337175,2741,4090.4190866773797
403.761936519861,2862,4285.341935098715
404.315165242448,2994,4509.905458871155
404.868381504937,3068,4734.469097578925
405.421585307326,3049,4678.4153931407445
405.974776649617,3076,4753.5804604785835
406.527955531809,3220,4971.096522313776
407.081121953902,3349,5090.887385831821
407.634275915896,3368,5087.37607631087
408.187417417791,3562,5321.312894506226
408.740546459587,3428,5045.921844649562
409.293663041284,3626,5333.272269459667
409.846767162883,3763,5598.291948201394
410.399858824382,3830,5663.890286479121
410.952938025783,3827,5723.711630368466
411.506004767085,4015,6007.949743753181
412.059059048288,4253,6319.800759763681
412.612100869392,4316,6395.300027497135
413.165130230397,4400,6511.530377225676
413.718147131303,4714,6912.588103719996
414.27115157211,4855,7070.660182179573
414.824143552819,5025,7263.771543866307
415.377123073428,5162,7411.889505374806
415.930090133939,5462,7802.1647668786745
416.483044734351,5675,8062.196084087612
417.035986874663,5937,8445.07806293903
